site,date,tot_diss,mc_elisa,mc_elisa_final,stx_elisa_final,notes
ODNR 2,6/6/2022,T,0.176777489,0.176777489,,
ODNR 2,6/6/2022,D,0.088276979,,,belowdetection
ODNR 1,6/6/2022,T,0.165151377,0.165151377,,
ODNR 1,6/6/2022,D,0.036008669,,,belowdetection
Buoy 2,6/6/2022,T,0.511871126,0.511871126,,
Buoy 2,6/6/2022,D,0.039538877,,,belowdetection
EC 1163,6/6/2022,T,0.075104273,,,belowdetection
EC 1163,6/6/2022,D,0.033249207,,,belowdetection
Bells,6/6/2022,T,0.036037498,,,belowdetection
Bells,6/6/2022,D,0.017576046,,,belowdetection
Muddy Creek,6/13/2022,T,,,,belowdetection
Muddy Creek,6/13/2022,D,,,,belowdetection
ODNR 6,6/13/2022,T,0.737324517,0.737324517,,
ODNR 6,6/13/2022,D,0.230099292,0.230099292,,
ODNR 4,6/13/2022,T,0.153909718,0.153909718,,
ODNR 4,6/13/2022,D,0.09253232,,,belowdetection
Bridge,6/13/2022,T,0.384723354,0.384723354,,
Bridge,6/13/2022,D,0.104651963,,,belowdetection
ODNR 2,6/13/2022,D,0.274204647,0.274204647,,
ODNR 1,6/13/2022,T,0.808679238,0.808679238,,
ODNR 1,6/13/2022,D,0.170389718,0.170389718,,
Buoy 2,6/13/2022,T,0.985007562,0.985007562,,
Buoy 2,6/13/2022,D,0.109971606,,,belowdetection
EC 1163,6/13/2022,T,0.097164541,,,belowdetection
EC 1163,6/13/2022,D,0.056832453,,,belowdetection
Bells,6/13/2022,T,0.042598944,,,belowdetection
Bells,6/13/2022,D,0.024666414,,,belowdetection
Muddy Creek,6/21/2022,T,0.14,,,belowdetection
Muddy Creek,6/21/2022,D,0.08,,,belowdetection
ODNR 6,6/21/2022,D,0.08,,,belowdetection
ODNR 4,6/21/2022,T,,,,belowdetection
ODNR 4,6/21/2022,D,0.01,,,belowdetection
Bridge,6/21/2022,T,1.06,1.06,,
Bridge,6/21/2022,D,0.11,,,belowdetection
ODNR 2,6/21/2022,T,0.91,0.91,,
ODNR 2,6/21/2022,D,,,,belowdetection
ODNR 2,6/21/2022,T,2.07,2.07,,
ODNR 1,6/21/2022,T,0.18,0.18,,
ODNR 1,6/21/2022,D,3.99,3.99,,
Buoy 2,6/21/2022,T,0.08,,,belowdetection
Buoy 2,6/21/2022,D,1.41,1.41,,
EC 1163,6/21/2022,T,0.08,,,belowdetection
EC 1163,6/21/2022,D,,,,belowdetection
Bells,6/21/2022,D,,,,belowdetection
Muddy Creek,6/27/2022,T,0.343965001,0.343965001,,
Muddy Creek,6/27/2022,D,0.073177887,,,belowdetection
ODNR 6,6/27/2022,T,1.510276204,1.510276204,,
ODNR 6,6/27/2022,D,0.131843986,,,belowdetection
ODNR 4,6/27/2022,T,1.202654002,1.202654002,,
ODNR 4,6/27/2022,D,0.096023059,,,belowdetection
Bridge,6/27/2022,T,1.632987683,1.632987683,,
Bridge,6/27/2022,D,0.115281143,,,belowdetection
ODNR 2,6/27/2022,T,1.411327631,1.411327631,,
ODNR 2,6/27/2022,D,0.109918877,,,belowdetection
ODNR 1,6/27/2022,T,1.261780868,1.261780868,,
ODNR 1,6/27/2022,D,0.174482078,0.174482078,,
Buoy 2,6/27/2022,T,0.049636735,,,belowdetection
Buoy 2,6/27/2022,D,0.011757031,,,belowdetection
EC 1163,6/27/2022,T,0.403374004,0.403374004,,
Muddy Creek,7/5/2022,T,0.018119464,,,belowdetection
Muddy Creek,7/5/2022,D,#NUM!,,,belowdetection
ODNR 6,7/5/2022,T,0.176592783,0.176592783,,
ODNR 6,7/5/2022,D,0.053799929,,,belowdetection
ODNR 4,7/5/2022,T,0.098431224,,,belowdetection
ODNR 4,7/5/2022,D,0.011793492,,,belowdetection
Bridge,7/5/2022,T,0.690709395,0.690709395,,
Bridge,7/5/2022,D,0.218074429,0.218074429,,
ODNR 2,7/5/2022,T,4.725607495,4.725607495,,
ODNR 2,7/5/2022,D,0.104001601,,,belowdetection
ODNR 1,7/5/2022,T,0.557540487,0.557540487,,
ODNR 1,7/5/2022,D,0.08529288,,,belowdetection
Buoy 2,7/5/2022,T,1.965605923,1.965605923,,
Buoy 2,7/5/2022,D,0.096110383,,,belowdetection
EC 1163,7/5/2022,T,0.309848006,0.309848006,,
EC 1163,7/5/2022,D,0.126547009,,,belowdetection
Muddy Creek,7/11/2022,T,,,,belowdetection
Muddy Creek,7/11/2022,D,0.04223324,,,belowdetection
ODNR 6,7/11/2022,T,0.397435669,0.397435669,,
ODNR 6,7/11/2022,D,0.13470954,,,belowdetection
ODNR 4,7/11/2022,T,3.714610519,3.714610519,,
ODNR 4,7/11/2022,D,0.594583794,0.594583794,,
Bridge,7/11/2022,T,0.315616786,0.315616786,,
Bridge,7/11/2022,D,0.068893025,,,belowdetection
ODNR 2,7/11/2022,T,1.166225746,1.166225746,,
ODNR 2,7/11/2022,D,0.645406052,0.645406052,,
ODNR 1,7/11/2022,T,2.444150459,2.444150459,,
ODNR 1,7/11/2022,D,0.169280417,0.169280417,,
Buoy 2,7/11/2022,T,0.376448489,0.376448489,,
Buoy 2,7/11/2022,D,1.70983739,1.70983739,,
EC 1163,7/11/2022,T,1.532308926,1.532308926,,
EC 1163,7/11/2022,D,0.098960421,,,belowdetection
Bells,7/11/2022,T,0.779469158,0.779469158,,
Bells,7/11/2022,D,0.358682157,0.358682157,,
Muddy Creek,7/18/2022,T,0.018356545,,,belowdetection
Muddy Creek,7/18/2022,D,0.029284242,,,belowdetection
ODNR 4,7/18/2022,T,0.07964675,,0.045811005,belowdetection
ODNR 4,7/18/2022,D,0.363151777,0.363151777,,
ODNR 6,7/18/2022,T,0.35151632,0.35151632,0.060957309,
ODNR 6,7/18/2022,D,0.061413748,,,belowdetection
Bridge,7/18/2022,T,0.465011334,0.465011334,0.02288672,
Bridge,7/18/2022,D,0.028298678,,,belowdetection
ODNR 2,7/18/2022,T,0.152740492,0.152740492,,
ODNR 2,7/18/2022,D,0.061778045,,,belowdetection
ODNR 1,7/18/2022,T,0.022301147,,,belowdetection
ODNR 1,7/18/2022,D,0.219825687,0.219825687,,
EC 1163,7/18/2022,D,0.209883413,0.209883413,,
EC 1163,7/18/2022,T,0.056968086,,,belowdetection
Buoy 2,7/18/2022,T,0.193446956,0.193446956,,
Buoy 2,7/18/2022,D,0.009745052,,,belowdetection
Bells,7/18/2022,T,0.20497141,0.20497141,,
Bells,7/18/2022,D,,,,belowdetection
Causeway,7/18/2022,T,0.288995675,0.288995675,,
Causeway,7/18/2022,D,,,,belowdetection
Ironman Marina,7/18/2022,T,0.221319466,0.221319466,,
Ironman Marina,7/18/2022,D,0.221126439,0.221126439,,
Muddy Creek,7/18/2022,T,0.018356545,,,belowdetection
Muddy Creek,7/18/2022,D,0.029284242,,,belowdetection
ODNR 6,7/18/2022,D,0.07964675,,0.060957309,belowdetection
ODNR 6,7/18/2022,T,0.363151777,0.363151777,0.045811005,
ODNR 4,7/18/2022,T,0.35151632,0.35151632,,
ODNR 4,7/18/2022,D,0.061413748,,,belowdetection
Bridge,7/18/2022,T,0.465011334,0.465011334,0.02288672,
Bridge,7/18/2022,D,0.028298678,,,belowdetection
ODNR 2,7/18/2022,T,0.152740492,0.152740492,,
ODNR 2,7/18/2022,D,0.061778045,,,belowdetection
ODNR 1,7/18/2022,T,0.022301147,,,belowdetection
ODNR 1,7/18/2022,D,0.219825687,0.219825687,,
Buoy 2,7/18/2022,T,0.209883413,0.209883413,,
Buoy 2,7/18/2022,D,0.056968086,,,belowdetection
EC 1163,7/18/2022,T,0.193446956,0.193446956,,
EC 1163,7/18/2022,D,0.009745052,,,belowdetection
Bells,7/18/2022,T,0.20497141,0.20497141,,
Bells,7/18/2022,D,,,,belowdetection
Causeway,7/18/2022,T,0.288995675,0.288995675,,
Causeway,7/18/2022,D,,,,belowdetection
Marina,7/18/2022,T,0.221319466,0.221319466,,
Marina,7/18/2022,D,0.221126439,0.221126439,,
Muddy Creek,7/25/2022,T,0.13727047,,,belowdetection
Muddy Creek,7/25/2022,D,0.106471489,,,belowdetection
ODNR 6,7/25/2022,T,0.887840771,0.887840771,,
ODNR 6,7/25/2022,D,0.268315967,0.268315967,,
ODNR 4,7/25/2022,T,0.366961176,0.366961176,,
ODNR 4,7/25/2022,D,0.225261764,0.225261764,,
Bridge,7/25/2022,T,0.389717651,0.389717651,,
Bridge,7/25/2022,D,0.149062461,,,belowdetection
ODNR 2,7/25/2022,T,0.729517169,0.729517169,,
ODNR 2,7/25/2022,D,0.577540031,0.577540031,,
ODNR 1,7/25/2022,T,0.369071065,0.369071065,,
ODNR 1,7/25/2022,D,0.093138544,,,belowdetection
Buoy 2,7/25/2022,T,0.410973826,0.410973826,,
Buoy 2,7/25/2022,D,0.222642768,0.222642768,,
EC 1163,7/25/2022,T,0.219266346,0.219266346,,
EC 1163,7/25/2022,D,0.066655902,,,belowdetection
Bells,7/25/2022,T,,,,belowdetection
Bells,7/25/2022,D,,,,belowdetection
Causeway,7/25/2022,T,,,,belowdetection
Causeway,7/25/2022,D,0.15,0.15,,
Muddy Creek,8/1/2022,T,0.359274339,0.359274339,,
Muddy Creek,8/1/2022,D,0.079785356,,,belowdetection
ODNR 6,8/1/2022,T,0.321690664,0.321690664,,
ODNR 6,8/1/2022,D,0.137635429,,,belowdetection
ODNR 4,8/1/2022,T,0.187193862,0.187193862,,
ODNR 4,8/1/2022,D,0.14479307,,,belowdetection
Bridge,8/1/2022,T,0.236401712,0.236401712,,
Bridge,8/1/2022,D,0.221938084,0.221938084,,
ODNR 2,8/1/2022,T,0.074728734,,,belowdetection
ODNR 2,8/1/2022,D,0.066964766,,,belowdetection
ODNR 1,8/1/2022,T,0.207259359,0.207259359,,
ODNR 1,8/1/2022,D,0.114647068,,,belowdetection
Buoy 2,8/1/2022,T,0.229813564,0.229813564,,
Buoy 2,8/1/2022,D,0.227842632,0.227842632,,
EC 1163,8/1/2022,T,0.200345025,0.200345025,,
EC 1163,8/1/2022,D,0.039686747,,,belowdetection
Bells,8/1/2022,T,0.895045578,0.895045578,,
Bells,8/1/2022,D,0.144648714,,,belowdetection
Causeway,8/1/2022,T,0.074942238,,,belowdetection
Causeway,8/1/2022,D,,,,belowdetection
ODNR 6,8/9/2022,T,0.324584571,0.324584571,,
ODNR 6,8/9/2022,D,0.09898772,,,belowdetection
ODNR 4,8/9/2022,T,0.352725276,0.352725276,,
ODNR 4,8/9/2022,D,0.176569075,0.176569075,,
Bridge,8/9/2022,T,0.199699323,0.199699323,,
Bridge,8/9/2022,D,0.153393274,0.153393274,,
ODNR 2,8/9/2022,T,0.212899246,0.212899246,,
ODNR 2,8/9/2022,D,0.234757501,0.234757501,,
ODNR 1,8/9/2022,T,0.081608448,,,belowdetection
ODNR 1,8/9/2022,D,0.049597649,,,belowdetection
Causeway,8/9/2022,T,0.10502657,,,belowdetection
Causeway,8/9/2022,D,,,,belowdetection
Muddy Creek,8/15/2022,T,,,,belowdetection
Muddy Creek,8/15/2022,D,0.45,0.45,,
ODNR 6,8/15/2022,T,0.04,,,belowdetection
ODNR 4,8/15/2022,T,0.205797483,0.205797483,,
ODNR 4,8/15/2022,D,0.181133504,0.181133504,,
Bridge,8/15/2022,T,0.199417737,0.199417737,,
Bridge,8/15/2022,D,0.069601599,,,belowdetection
ODNR 2,8/15/2022,T,0.273534066,0.273534066,,
ODNR 2,8/15/2022,D,0.101511725,,,belowdetection
ODNR 1,8/15/2022,T,0.133224726,,,belowdetection
ODNR 1,8/15/2022,D,0.088465538,,,belowdetection
Buoy 2,8/15/2022,T,0.276972536,0.276972536,,
Buoy 2,8/15/2022,D,0.117800507,,,belowdetection
EC 1163,8/15/2022,T,0.081525674,,,belowdetection
EC 1163,8/15/2022,D,0.102294323,,,belowdetection
Causeway,8/15/2022,T,0.139867824,,,belowdetection
Causeway,8/15/2022,D,0.125934542,,,belowdetection
Muddy Creek,8/29/2022,T,0.131620332,,,belowdetection
Muddy Creek,8/29/2022,D,0.082413485,,,belowdetection
ODNR 6,8/29/2022,T,0.32587716,0.32587716,,
ODNR 6,8/29/2022,D,0.081206527,,,belowdetection
ODNR 4,8/29/2022,T,0.264667277,0.264667277,,
ODNR 4,8/29/2022,D,0.094607479,,,belowdetection
Bridge,8/29/2022,T,0.347676306,0.347676306,,
Bridge,8/29/2022,D,0.070533398,,,belowdetection
ODNR 2,8/29/2022,T,0.244356156,0.244356156,,
ODNR 2,8/29/2022,D,0.093364465,,,belowdetection
ODNR 1,8/29/2022,T,0.286531586,0.286531586,,
ODNR 1,8/29/2022,D,0.078697385,,,belowdetection
Buoy 2,8/29/2022,T,0.244045012,0.244045012,,
Buoy 2,8/29/2022,D,0.107549857,,,belowdetection
EC 1163,8/29/2022,T,0.193314459,0.193314459,,
EC 1163,8/29/2022,D,0.13999033,,,belowdetection
Causeway,8/29/2022,T,0.13999033,,,belowdetection
Causeway,8/29/2022,D,0.21659079,0.21659079,,
